ProductID,Product,Category,Sub_category,ProductBrand,Price  ,Market_price,Type,Rating
76,Acne Pimple Kit For Acne & Pimple Removal,Beauty & Hygiene,Skin Care,Natures Essence,500,500,Face Care,3
77,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch","Kitchen, Garden & Pets",Kitchen Accessories,Bamboooz,135,299,Kitchen Tools & Other Accessories,4.3
78,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Dettol,108,120,Bathing Bars & Soaps,4.6
79,Amla Chatpata Dry Fruit,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Fresho Signature,49,65,Dry Fruits & Berries,
80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Oral Care,Colgate,49,79,Toothbrush,3.9
81,Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65,65,Chips & Corn Snacks,3.9
82,Cup a Soup - Croutons Cream of Asparagus,Gourmet & World Food,"Pasta, Soup & Noodles",Batchelors,269.1,299,Imported Soups,
83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96,96,Organic Dals & Pulses,3.9
84,Strawberry Ice Cream,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,225,225,Gourmet Ice Cream,
85,Exo Dishwash Bar- Round 700 gm Box ,Cleaning & Household,Detergents & Dishwash,bb Combo,95,114,Dishwash Bars & Powders,
86,Jupiter Water/Juice Glass Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,479,629,Glassware,
87,"Cheese - Feta Greek, Block",Gourmet & World Food,Dairy & Cheese,Fresho Signature,695.7,773,International Cheese,
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Pooja Needs,Shalimar,31.5,35,"Agarbatti, Incense Sticks",4.6
89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,299,Bathing Bars & Soaps,4.2
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55,55,Cut & Peeled Veggies,
91,Ashwagandha Tablets,Beauty & Hygiene,Health & Medicine,Muniyal Ayurveda,120,120,Ayurveda,
92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,864.5,910,Tawa & Sauce Pan,4.6
93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,90,"Flavoured, Soya Milk",5
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10,10,Namkeen & Savoury Snacks,4.1
95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Steel Utensils,Ramson,129,249,Steel Storage Containers,1.5
96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Fragrances & Deos,Brut,179.4,299,Men's Deodorants,4
97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Feminine Hygiene,Dimples,1200,1200,Hair Removal,
98,Mr. Magic Powder-To-Liquid Germ Protection ,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35,Hand Wash & Sanitizers,4.4
99,Frankincense Oil,Beauty & Hygiene,Skin Care,Organic Harvest,258.75,345,Aromatherapy,3.7
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398,Diapers,4
101,Samrakshana Vaastu Deepa Thailam,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samvruddhi,515,515,Other Edible Oils,
102,Quinoa - Organic Black,Gourmet & World Food,Cooking & Baking Needs,Nourish You,495,495,Quinoa & Grains,
103,Fructis Serum - Long & Strong,Beauty & Hygiene,Hair Care,Garnier,230,230,Shampoo & Conditioner,4.8
104,Citrus Blast Orange Lemon Soap Free Body Wash,Beauty & Hygiene,Bath & Hand Wash,Fuschia,225,250,Shower Gel & Body Wash,3.7
105,Veda Marie Light Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30,30,"Marie, Health, Digestive",4.4
106,"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet","Kitchen, Garden & Pets",Storage & Accessories,Fendo,289,749,Umbrella,3.6
107,Aamras Mango Fruit Juice,Beverages,Fruit Juices & Drinks,Paper Boat,243,360,Juices,
108,Henna & Ginseng Anti Hair Loss Shampoo,Beauty & Hygiene,Hair Care,Jovees,137.75,145,Shampoo & Conditioner,3.6
109,"Sandwich Toaster - Non-Stick, Gas","Kitchen, Garden & Pets",Cookware & Non Stick,Omega,249,315,Kadai & Fry Pans,3.3
110,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",Baby Care,Baby Food & Formula,Slurrp Farm,349,349,Baby Food,4
111,Incense Sticks - Sandal,Cleaning & Household,Pooja Needs,Ambica,60,60,"Agarbatti, Incense Sticks",4.6
112,SPF 15 Sunscreen Lotion,Beauty & Hygiene,Skin Care,Elovera,209.3,299,Body Care,5
113,Fenugreek,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,28.5,30,Organic Masalas & Spices,4.2
114,Caramel Popcorn - Himalayan Salt,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",4700BC,44.1,49,Gourmet Popcorn,
115,Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control,Beauty & Hygiene,Skin Care,Soulflower,182.75,215,Aromatherapy,4
116,Sapota - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,35,43.75,Organic Fruits,
117,Spiced Tea - Blend Of 7 Refreshing Spices,Beverages,Tea,Wagh Bakri,150,150,Leaf & Dust Tea,4.3
118,"Steel Bowl/Vati/Katori - No. 4, Chutney","Kitchen, Garden & Pets",Steel Utensils,BB Home,69,159,Bowls & Vessels,
119,"Adult Dry Cat Food - +1 Year, Ocean Fish","Kitchen, Garden & Pets",Pet Food & Accessories,Maxi Persian,999,999,Pet Meals & Treats,
120,Millet Rusk - Sweet,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Nutribee,100,100,Rusks,4.5
121,"Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm","Kitchen, Garden & Pets",Cookware & Non Stick,Vinod,1099,1335,Kadai & Fry Pans,3.8
122,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",Cleaning & Household,Fresheners & Repellents,Aer,53.35,55,Air Freshener,4.2
123,Cabbage - Red,Fruits & Vegetables,Fresh Vegetables,Fresho,23,28.75,Cabbage & Cauliflower,
124,Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,"Kitchen, Garden & Pets",Storage & Accessories,Hm International,269,299,Lunch Boxes,3
125,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),"Foodgrains, Oil & Masala",Edible Oils & Ghee,Dhara ,183,185,"Sunflower, Rice Bran Oil",4.1
126,Premium Square Plastic Container - Green,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,179,280,Containers Sets,3.9
127,Instant Popcorn - Butter Delite,Snacks & Branded Foods,Snacks & Namkeen,ACT II,29.7,33,Chips & Corn Snacks,4.2
128,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,Beauty & Hygiene,Skin Care,Kaya Clinic,455,525,Lip Care,
129,Nutrition Plus Health Supplement - Joint Support,Beauty & Hygiene,Health & Medicine,Abbies,1299,1299,Supplements & Proteins,
130,Glass Belleza Bowl - Wine,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,299,398,Glassware,
131,Dark Fantasy - Choco Fills Biscuits - Cookies,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,23.76,30,Cream Biscuits & Wafers,4.3
132,Banana - Red,Fruits & Vegetables,Fresh Fruits,Fresho,39,48.75,"Banana, Sapota & Papaya",
133,"Chilli - Bajji, Mild",Fruits & Vegetables,Herbs & Seasonings,Fresho,14,17.5,"Lemon, Ginger & Garlic",
134,I Love You Fruit N Nut Chocolate,Snacks & Branded Foods,Chocolates & Candies,Amul,90,100,Chocolates,4.2
135,Pitted Green Olives,Gourmet & World Food,Tinned & Processed Food,Del Monte,230,230,"Olive, Jalapeno, Gherkin",4.4
136,Glass Mixing Bowl With Lid - Polo,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,159,190,Glassware,3.7
137,Cake Gel,Gourmet & World Food,Cooking & Baking Needs,Purix,85.5,90,"Baking, Cake Decorations",
138,Toffees - Excellence Assorted,Gourmet & World Food,Chocolates & Biscuits,Sapphire,250,250,International Chocolates,
139,Organic Idly Podi - Ginger,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75,75,Breakfast & Snack Mixes,3.9
140,Glass Water Bottle - Aquaria Organic Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369,425,Water & Fridge Bottles,4.8
141,Stainless Steel Pav Bhaji/Idli Oval Shaped Plate,"Kitchen, Garden & Pets",Steel Utensils,Omega,125,125,Plates & Tumblers,3.6
142,Organic Cow Ghee/Tuppa,"Foodgrains, Oil & Masala",Organic Staples,Akshayakalpa,280,280,"Organic Edible Oil, Ghee",4.2
143,Dates/Kharjura - Deseeded,"Foodgrains, Oil & Masala",Dry Fruits,Lion,66,66,Other Dry Fruits,4.1
144,Chutney - Sweet Mango Sliced (without Garlic),Snacks & Branded Foods,Pickles & Chutney,Priya,90,90,Lime & Mango Pickle,3.9
145,Turmeric Powder/Arisina Pudi,"Foodgrains, Oil & Masala",Masalas & Spices,Aashirvaad,32,64,Powdered Spices,4.2
146,Bread - Fruit,"Bakery, Cakes & Dairy",Breads & Buns,English Oven,20,20,"Milk, White & Sandwich",
147,Bombay Street Food Spice Blend,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,225,225,"Curry Paste, Coconut Milk",
148,Ragi Flakes,Snacks & Branded Foods,Breakfast Cereals,Murginns,225,225,Flakes,4.5
149,Mustard Oil - Cold Pressed,Gourmet & World Food,Oils & Vinegar,Health 1st,250,250,Flavoured & Other Oils,3.7
150,Juice/Water Glass - Long Drink Nord,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,639,975,Glassware,3.3
151,Glass Amaze Air Tight Jar - Pink,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,289,358,Glassware,
152,"Finger Brush For Kids - Blue, Ultra Soft",Beauty & Hygiene,Oral Care,Dentoshine  ,120,120,Toothbrush,4.3
153,Water/Juice Glass  - Jupiter Long Glass,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,459,705,Glassware,3.5
154,Energy Bar - Choco Crunch,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",On The Run,50,50,"Healthy, Baked Snacks",
155,Breeze - Razor Blades,Beauty & Hygiene,Feminine Hygiene,Gillette Venus,350,350,Hair Removal,4.3
156,"Confeito Vermicelli Combo, Sprinkles",Gourmet & World Food,Cooking & Baking Needs,Wow Confetti,247,260,"Baking, Cake Decorations",
157,Olive Oil - Classic,Gourmet & World Food,Oils & Vinegar,BORGES,429.03,700,"Pure, Pomace Olive Oil",4.5
158,"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,25,42,Water & Fridge Bottles,
159,Chia Seeds,Gourmet & World Food,Cooking & Baking Needs,Organicana,185,185,Quinoa & Grains,
160,Skin Cream,Beauty & Hygiene,Skin Care,Aloederm,112.5,150,Face Care,3.1
161,One Touch Air Purifier Freshener - Floral Bouquet Refill,Cleaning & Household,Fresheners & Repellents,Odonil ,77,77,Air Freshener,4.2
162,Water/Juice Glass,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,189,220,Glassware,3.7
163,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Beauty & Hygiene,Hair Care,Garnier,199,199,Hair Color,4.1
164,Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40,40,Bathing Bars & Soaps,4.3
165,Silver Needles Tulsi White Tea Bags ,Gourmet & World Food,Drinks & Beverages,Sancha,450,450,Gourmet Tea & Tea Bags,
166,Baby Napkins - Mini Terry,Baby Care,Feeding & Nursing,Mee Mee,179,179,Bibs & Napkins,4.3
167,"Printed Fabric Pencil Pouch - Purple, BB1263DPPL",Cleaning & Household,Stationery,DP,232,399,Exam Pads & Pencil Box,4
168,Snacks - Roasted Mixture Lime,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",GoodDiet,79,109,"Healthy, Baked Snacks",
169,Organic Dosa Mix - Jowar,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80,80,Breakfast & Snack Mixes,3.7
170,Lunch Box/Tiffin Set - Green BB 570 2,"Kitchen, Garden & Pets",Storage & Accessories,Tedemei,509,565,Lunch Boxes,3.6
171,BCAA Energy Drink - Berry Flavour,Beverages,Energy & Soft Drinks,NOCD,110,110,Sports & Energy Drinks,4
172,Coffee Energizing Face Scrub,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,190,Face Care,3
173,Pain Relief - Oil,Beauty & Hygiene,Hair Care,Himalaya Wellness,90,100,Hair Oil & Serum,4.4
174,Ultra Soft New Born Diapers - Extra Small,Baby Care,Diapers & Wipes,Huggies,699,999,Diapers,3.9
175,Jungle Stimulating Facial Cleanser,Beauty & Hygiene,Skin Care,StBotanica,799,799,Face Care,
176,Ylang Ylang Essential Oil,Beauty & Hygiene,Skin Care,Soulflower,328,450,Aromatherapy,4.5
177,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Beauty & Hygiene,Bath & Hand Wash,Medimix,40,40,Bathing Bars & Soaps,4.3
178,Soap,Beauty & Hygiene,Bath & Hand Wash,Mysore Sandal,430,430,Bathing Bars & Soaps,5
179,Yellow Balm,Beauty & Hygiene,Health & Medicine,Siang Pure,195,195,Everyday Medicine,
180,"LED Bulb - 12 Watt, Cool Daylight, B22 Base","Kitchen, Garden & Pets",Appliances & Electricals,AGARO,159,260,CFL & Led Bulbs,4
181,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,Fruits & Vegetables,Herbs & Seasonings,Fresho,81.06,109.38,Indian & Exotic Herbs,
182,Jaggery/Bella Powder - Pesticide Free,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Safe Harvest,56,70,Sugar & Jaggery,3.9
183,Ready Masala - Kashmiri Meat,"Foodgrains, Oil & Masala",Masalas & Spices,Kohinoor,19,20,Blended Masalas,4.2
184,"Water Saving Aerator, Switch",Cleaning & Household,All Purpose Cleaners,ECO365,509,509,"Kitchen, Glass & Drain",
185,Lemongrass Anti-Pigmentation Massage Cream,Beauty & Hygiene,Skin Care,Vaadi,148.5,165,Face Care,
186,Breakfast Mix - Finger Millet Ragi Idli,Snacks & Branded Foods,Ready To Cook & Eat,GoodDiet,119,149,Breakfast & Snack Mixes,4.2
187,Herbal Wine Grapefruit Lip Balm,Beauty & Hygiene,Skin Care,Khadi Natural,99,99,Lip Care,4.4
188,Masala Upma,Snacks & Branded Foods,Ready To Cook & Eat,MOM Meal of the Moment,20,20,Heat & Eat Ready Meals,3.4
189,Maharishi Ayurveda Ayush Kwath,Beauty & Hygiene,Health & Medicine,Maharishi Ayurveda ,165,165,Ayurveda,
190,Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257),"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,2369,2780,Pressure Cookers,
191,Chicken Liver Gourmet Loaf With Pumpkin - Super Food,"Kitchen, Garden & Pets",Pet Food & Accessories,Kennel kitchen ,150,150,Pet Meals & Treats,
192,Bath & Body Oil - Oriental Spicy Rose,Beauty & Hygiene,Skin Care,Oriental Botanics,699,699,Aromatherapy,2
193,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",Beauty & Hygiene,Skin Care,Bio-Oil,333,450,Body Care,4.2
194,Brioche,"Bakery, Cakes & Dairy",Gourmet Breads,The Baker's Dozen,155,155,Gourmet Bread,4.4
195,Onion - Rings,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Miaow Miaow,75,75,"Healthy, Baked Snacks",
196,Cotton Mop With Telescopic Handle 150 Cm,Cleaning & Household,"Mops, Brushes & Scrubs",York,558,620,"Mops, Wipers",
